id;date;horaire;bilan;longitude;lattitude
1;2023-05-02T15:29:06;SOIR;e-commerce;13097;50789
2;2023-05-02T08:00:45;FIN_SEMAINE;facilitate hack;75683;99423
3;2023-05-02T13:29:34;FIN_SEMAINE;Beauty communities;62679;41284
4;2023-05-02T17:57:19;FIN_SEMAINE;olive;26592;73617
5;2023-05-02T01:54:55;MATIN;Fantastic calculating;43105;26925
6;2023-05-01T20:18:33;FIN_SEMAINE;Mouse Suède;66862;61207
7;2023-05-02T01:07:36;SOIR;withdrawal ivory b;65800;79402
8;2023-05-02T02:17:36;SOIR;panel;65030;6326
9;2023-05-02T04:46:34;FIN_SEMAINE;synergize Investment;99148;24115
10;2023-05-01T20:55:02;SOIR;orchid magenta b;26069;6599
